FILE,CLASS,BMT,REPLICATE,DATA SET,CLASS2,C LEVEL,M LEVEL,VERTICES,CONNECTED EDGES,WEDGE COUNT,CLAW COUNT,MAX DEGREE
AJT2,AJ,T2,2,Training,T,125,100,2838,9950,1,1467,5
AJT3,AJ,T3,3,Training,T,125,100,4122,14451,1,2147,5
AJT4,AJ,T4,4,Training,T,125,100,3909,13768,1,1974,5
AJT5,AJ,T5,5,Training,T,125,100,1936,6714,2,1072,5
AJT6,AJ,T6,6,Training,T,125,100,3623,12646,4,1919,5
AJT7,AJ,T7,7,Validation,T,125,100,3109,10952,1,1563,5
AJT8,AJ,T8,8,Validation,T,125,100,3259,11382,3,1720,5
AJT9,AJ,T9,9,Validation,T,125,100,4378,15432,1,2194,5
AJT10,AJ,T10,10,Cross-validation,T,125,100,3383,11858,1,1762,5
AJT1,AJ,T1,1,Training,T,125,125,2387,8313,11,1260,5
AJT2,AJ,T2,2,Training,T,125,125,2787,9779,1,1434,5
AJT3,AJ,T3,3,Training,T,125,125,3540,12412,0,1849,5
AJT4,AJ,T4,4,Training,T,125,125,3690,13007,1,1860,5
AJT5,AJ,T5,5,Training,T,125,125,1380,4775,4,772,5
AJT6,AJ,T6,6,Training,T,125,125,3433,12022,4,1781,5
AJT7,AJ,T7,7,Validation,T,125,125,2724,9607,1,1350,5
AJT8,AJ,T8,8,Validation,T,125,125,3232,11298,3,1701,5
AJT9,AJ,T9,9,Validation,T,125,125,4089,14389,1,2060,5
AJT10,AJ,T10,10,Cross-validation,T,125,125,3310,11577,3,1737,5
AJT1,AJ,T1,1,Training,T,175,70,1385,4796,14,739,5
AJT2,AJ,T2,2,Training,T,175,70,2847,10006,1,1455,5
AJT3,AJ,T3,3,Training,T,175,70,4234,14857,0,2192,5
AJT4,AJ,T4,4,Training,T,175,70,3913,13775,2,1983,5
AJT5,AJ,T5,5,Training,T,175,70,2039,7122,1,1083,5
AJT6,AJ,T6,6,Training,T,175,70,2954,10327,10,1527,5
AJT7,AJ,T7,7,Validation,T,175,70,3102,10888,2,1585,5
AJT8,AJ,T8,8,Validation,T,175,70,2959,10291,5,1592,5
AJT9,AJ,T9,9,Validation,T,175,70,4210,14806,3,2132,5
AJT10,AJ,T10,10,Cross-validation,T,175,70,2591,9027,5,1381,5
AJT1,AJ,T1,1,Training,T,175,100,1369,4743,14,728,5
AJT2,AJ,T2,2,Training,T,175,100,2857,10036,3,1462,5
AJT3,AJ,T3,3,Training,T,175,100,4204,14716,1,2205,5
AJT4,AJ,T4,4,Training,T,175,100,3824,13467,1,1931,5
AJT5,AJ,T5,5,Training,T,175,100,2219,7606,1,1316,5
AJT6,AJ,T6,6,Training,T,175,100,2895,10100,9,1517,5
AJT7,AJ,T7,7,Validation,T,175,100,3061,10749,2,1560,5
AJT8,AJ,T8,8,Validation,T,175,100,2951,10264,5,1586,5
AJT9,AJ,T9,9,Validation,T,175,100,4157,14619,3,2106,5
AJT10,AJ,T10,10,Cross-validation,T,175,100,2530,8815,5,1348,5
AJT1,AJ,T1,1,Training,T,175,125,1340,4644,14,709,5
AJT2,AJ,T2,2,Training,T,175,125,2796,9837,1,1418,5
AJT3,AJ,T3,3,Training,T,175,125,3536,12382,0,1850,5
AJT4,AJ,T4,4,Training,T,175,125,3573,12576,1,1806,5
AJT5,AJ,T5,5,Training,T,175,125,1351,4686,1,751,5
AJT6,AJ,T6,6,Training,T,175,125,2808,9806,10,1464,5
AJT7,AJ,T7,7,Validation,T,175,125,2704,9508,2,1358,5
AJT8,AJ,T8,8,Validation,T,175,125,2920,10161,5,1569,5
AJT9,AJ,T9,9,Validation,T,175,125,3904,13688,4,2003,5
AJT10,AJ,T10,10,Cross-validation,T,175,125,2488,8639,6,1351,5
BOSB1,BOS,B1,1,Training,B,90,70,3526,12254,12,1885,5
BOSB2,BOS,B2,2,Training,B,90,70,3621,12620,14,1909,5
BOSB3,BOS,B3,3,Training,B,90,70,2873,10073,8,1471,5
BOSB4,BOS,B4,4,Training,B,90,70,3058,10570,17,1688,5
BOSB5,BOS,B5,5,Training,B,90,70,2930,10197,10,1564,5
BOSB6,BOS,B6,6,Training,B,90,70,2607,9096,13,1356,5
BOSB7,BOS,B7,7,Validation,B,90,70,2300,7944,13,1285,5
BOSB8,BOS,B8,8,Validation,B,90,70,2730,9472,21,1465,5
BOSB9,BOS,B9,9,Validation,B,90,70,2401,8310,17,1304,5
BOSB10,BOS,B10,10,Cross-validation,B,90,70,2082,7234,14,1108,5
BOSB1,BOS,B1,1,Training,B,90,100,3535,12284,12,1891,5
BOSB2,BOS,B2,2,Training,B,90,100,3601,12552,13,1901,5
BOSB3,BOS,B3,3,Training,B,90,100,2489,8707,8,1290,5
BOSB4,BOS,B4,4,Training,B,90,100,3008,10394,17,1659,5
BOSB5,BOS,B5,5,Training,B,90,100,2918,10154,10,1558,5
BOSB6,BOS,B6,6,Training,B,90,100,2611,9110,14,1356,5
BOSB7,BOS,B7,7,Validation,B,90,100,2311,7986,13,1287,5
BOSB8,BOS,B8,8,Validation,B,90,100,2667,9260,21,1417,5
BOSB9,BOS,B9,9,Validation,B,90,100,2378,8229,17,1294,5
BOSB10,BOS,B10,10,Cross-validation,B,90,100,2082,7234,14,1108,5
BOSB1,BOS,B1,1,Training,B,90,125,3595,12480,12,1938,5
BOSB2,BOS,B2,2,Training,B,90,125,3587,12501,13,1897,5
BOSB3,BOS,B3,3,Training,B,90,125,2470,8647,8,1274,5
BOSB4,BOS,B4,4,Training,B,90,125,3046,10510,18,1694,5
BOSB5,BOS,B5,5,Training,B,90,125,2905,10106,10,1552,5
BOSB6,BOS,B6,6,Training,B,90,125,2608,9106,13,1351,5
BOSB7,BOS,B7,7,Validation,B,90,125,2261,7805,13,1266,5
BOSB8,BOS,B8,8,Validation,B,90,125,2658,9211,21,1430,5
BOSB9,BOS,B9,9,Validation,B,90,125,2289,7934,15,1236,5
BOSB10,BOS,B10,10,Cross-validation,B,90,125,2084,7241,14,1109,5
BOSB1,BOS,B1,1,Training,B,125,70,2966,10272,15,1621,5
BOSB2,BOS,B2,2,Training,B,125,70,2852,9875,22,1542,5
BOSB3,BOS,B3,3,Training,B,125,70,1773,6147,12,955,5
BOSB4,BOS,B4,4,Training,B,125,70,2250,7768,19,1225,5
BOSB5,BOS,B5,5,Training,B,125,70,2293,7940,9,1254,5
BOSB6,BOS,B6,6,Training,B,125,70,1818,6306,9,983,5
BOSB7,BOS,B7,7,Validation,B,125,70,1665,5737,14,927,5
BOSB8,BOS,B8,8,Validation,B,125,70,1556,5319,24,876,5
BOSB9,BOS,B9,9,Validation,B,125,70,1498,5155,20,825,5
BOSB10,BOS,B10,10,Cross-validation,B,125,70,1529,5251,21,858,5
BOSB1,BOS,B1,1,Training,B,125,100,2894,10038,14,1565,5
BOSB2,BOS,B2,2,Training,B,125,100,2839,9835,21,1534,5
BOSB3,BOS,B3,3,Training,B,125,100,1776,6158,12,956,5
BOSB4,BOS,B4,4,Training,B,125,100,2235,7716,19,1218,5
BOSB5,BOS,B5,5,Training,B,125,100,2279,7894,9,1244,5
BOSB6,BOS,B6,6,Training,B,125,100,1796,6234,11,959,5
BOSB7,BOS,B7,7,Validation,B,125,100,1632,5626,12,908,5
BOSB8,BOS,B8,8,Validation,B,125,100,1564,5353,24,874,5
BOSB9,BOS,B9,9,Validation,B,125,100,1454,5014,14,801,5
BOSB10,BOS,B10,10,Cross-validation,B,125,100,1461,5020,20,811,5
BOSB1,BOS,B1,1,Training,B,125,125,2866,9944,14,1547,5
BOSB2,BOS,B2,2,Training,B,125,125,2820,9771,21,1523,5
BOSB3,BOS,B3,3,Training,B,125,125,1754,6092,12,936,5
BOSB4,BOS,B4,4,Training,B,125,125,2229,7700,18,1213,5
BOSB5,BOS,B5,5,Training,B,125,125,2258,7823,9,1229,5
BOSB6,BOS,B6,6,Training,B,125,125,1796,6238,10,958,5
BOSB7,BOS,B7,7,Validation,B,125,125,1613,5566,10,896,5
BOSB8,BOS,B8,8,Validation,B,125,125,1554,5311,24,876,5
BOSB9,BOS,B9,9,Validation,B,125,125,1388,4781,15,766,5
BOSB10,BOS,B10,10,Cross-validation,B,125,125,1480,5078,20,829,5
BOSB1,BOS,B1,1,Training,B,175,70,1948,6726,16,1073,5
BOSB2,BOS,B2,2,Training,B,175,70,1966,6768,16,1096,5
BOSB3,BOS,B3,3,Training,B,175,70,1112,3846,5,616,5
BOSB4,BOS,B4,4,Training,B,175,70,1564,5354,13,897,5
BOSB5,BOS,B5,5,Training,B,175,70,1499,5163,15,827,5
BOSB6,BOS,B6,6,Training,B,175,70,1141,3929,10,628,5
BOSB7,BOS,B7,7,Validation,B,175,70,1100,3783,13,611,5
BOSB8,BOS,B8,8,Validation,B,175,70,943,3189,19,556,5
BOSB9,BOS,B9,9,Validation,B,175,70,861,2953,11,482,5
BOSB10,BOS,B10,10,Cross-validation,B,175,70,848,2914,12,471,5
BOSB1,BOS,B1,1,Training,B,175,100,2515,8391,254,1219,5
BOSB2,BOS,B2,2,Training,B,175,100,1960,6756,15,1088,5
BOSB3,BOS,B3,3,Training,B,175,100,1112,3846,5,616,5
BOSB4,BOS,B4,4,Training,B,175,100,1840,6361,16,1031,5
BOSB5,BOS,B5,5,Training,B,175,100,1485,5116,15,818,5
BOSB6,BOS,B6,6,Training,B,175,100,1143,3936,10,630,5
BOSB7,BOS,B7,7,Validation,B,175,100,1110,3819,14,613,5
BOSB8,BOS,B8,8,Validation,B,175,100,995,3373,18,587,5
BOSB9,BOS,B9,9,Validation,B,175,100,862,2952,12,485,5
BOSB10,BOS,B10,10,Cross-validation,B,175,100,850,2918,14,471,5
BOSB1,BOS,B1,1,Training,B,175,125,1944,6714,15,1071,5
BOSB2,BOS,B2,2,Training,B,175,125,1965,6773,18,1084,5
BOSB3,BOS,B3,3,Training,B,175,125,1100,3800,5,614,5
BOSB4,BOS,B4,4,Training,B,175,125,1631,5587,12,939,5
BOSB5,BOS,B5,5,Training,B,175,125,1481,5103,14,815,5
BOSB6,BOS,B6,6,Training,B,175,125,1148,3952,10,633,5
BOSB7,BOS,B7,7,Validation,B,175,125,1192,4104,12,661,5
BOSB8,BOS,B8,8,Validation,B,175,125,940,3177,19,556,5
BOSB9,BOS,B9,9,Validation,B,175,125,814,2795,10,457,5
BOSB10,BOS,B10,10,Cross-validation,B,175,125,908,3114,15,511,5
BOSM1,BOS,M1,1,Training,M,90,70,2919,10123,13,1584,5
BOSM2,BOS,M2,2,Training,M,90,70,2922,10164,13,1556,5
BOSM3,BOS,M3,3,Training,M,90,70,4063,14128,22,2146,5
BOSM4,BOS,M4,4,Training,M,90,70,3737,13010,9,1989,5
BOSM5,BOS,M5,5,Training,M,90,70,3845,13472,5,1980,5
BOSM6,BOS,M6,6,Training,M,90,70,3817,13334,9,1998,5
BOSM7,BOS,M7,7,Validation,M,90,70,3159,10930,22,1720,5
BOSM8,BOS,M8,8,Validation,M,90,70,4001,13924,19,2119,5
BOSM9,BOS,M9,9,Validation,M,90,70,3350,11679,16,1752,5
BOSM10,BOS,M10,10,Cross-validation,M,90,70,3082,10685,19,1658,5
BOSM1,BOS,M1,1,Training,M,90,100,3011,10441,15,1644,5
BOSM2,BOS,M2,2,Training,M,90,100,2876,9999,12,1535,5
BOSM3,BOS,M3,3,Training,M,90,100,3996,13901,22,2103,5
BOSM4,BOS,M4,4,Training,M,90,100,3715,12937,9,1974,5
BOSM5,BOS,M5,5,Training,M,90,100,3875,13566,8,2002,5
BOSM6,BOS,M6,6,Training,M,90,100,3810,13312,9,1993,5
BOSM7,BOS,M7,7,Validation,M,90,100,3158,10923,22,1724,5
BOSM8,BOS,M8,8,Validation,M,90,100,3982,13869,11,2114,5
BOSM9,BOS,M9,9,Validation,M,90,100,3298,11515,15,1711,5
BOSM10,BOS,M10,10,Cross-validation,M,90,100,3075,10663,19,1652,5
BOSM1,BOS,M1,1,Training,M,90,125,2863,9929,13,1554,5
BOSM2,BOS,M2,2,Training,M,90,125,2673,9329,10,1399,5
BOSM3,BOS,M3,3,Training,M,90,125,3972,13819,23,2087,5
BOSM4,BOS,M4,4,Training,M,90,125,3642,12687,9,1933,5
BOSM5,BOS,M5,5,Training,M,90,125,3938,13778,5,2052,5
BOSM6,BOS,M6,6,Training,M,90,125,3790,13208,9,2013,5
BOSM7,BOS,M7,7,Validation,M,90,125,3107,10744,26,1691,5
BOSM8,BOS,M8,8,Validation,M,90,125,4018,14005,11,2123,5
BOSM9,BOS,M9,9,Validation,M,90,125,3389,11780,16,1812,5
BOSM10,BOS,M10,10,Cross-validation,M,90,125,3016,10444,19,1632,5
BOSM1,BOS,M1,1,Training,M,125,70,2095,7220,16,1160,5
BOSM2,BOS,M2,2,Training,M,125,70,2071,7129,17,1149,5
BOSM3,BOS,M3,3,Training,M,125,70,2930,10100,32,1606,5
BOSM4,BOS,M4,4,Training,M,125,70,2957,10241,16,1610,5
BOSM5,BOS,M5,5,Training,M,125,70,2887,10053,20,1515,5
BOSM6,BOS,M6,6,Training,M,125,70,2965,10265,15,1624,5
BOSM7,BOS,M7,7,Validation,M,125,70,2181,7502,17,1216,5
BOSM8,BOS,M8,8,Validation,M,125,70,3052,10592,16,1634,5
BOSM9,BOS,M9,9,Validation,M,125,70,2831,9801,15,1552,5
BOSM10,BOS,M10,10,Cross-validation,M,125,70,1995,6837,18,1143,5
BOSM1,BOS,M1,1,Training,M,125,100,2085,7190,15,1153,5
BOSM2,BOS,M2,2,Training,M,125,100,2037,7014,16,1127,5
BOSM3,BOS,M3,3,Training,M,125,100,2929,10096,32,1608,5
BOSM4,BOS,M4,4,Training,M,125,100,2956,10244,15,1604,5
BOSM5,BOS,M5,5,Training,M,125,100,2887,10053,20,1515,5
BOSM6,BOS,M6,6,Training,M,125,100,2968,10273,15,1628,5
BOSM7,BOS,M7,7,Validation,M,125,100,2188,7521,19,1221,5
BOSM8,BOS,M8,8,Validation,M,125,100,3017,10461,16,1621,5
BOSM9,BOS,M9,9,Validation,M,125,100,2607,9012,14,1431,5
BOSM10,BOS,M10,10,Cross-validation,M,125,100,1992,6824,18,1143,5
BOSM1,BOS,M1,1,Training,M,125,125,2046,7059,15,1128,5
BOSM2,BOS,M2,2,Training,M,125,125,1934,6672,16,1063,5
BOSM3,BOS,M3,3,Training,M,125,125,2916,10051,38,1588,5
BOSM4,BOS,M4,4,Training,M,125,125,2906,10068,16,1578,5
BOSM5,BOS,M5,5,Training,M,125,125,2885,10048,20,1512,5
BOSM6,BOS,M6,6,Training,M,125,125,2946,10179,15,1634,5
BOSM7,BOS,M7,7,Validation,M,125,125,2126,7302,16,1196,5
BOSM8,BOS,M8,8,Validation,M,125,125,3052,10592,16,1631,5
BOSM9,BOS,M9,9,Validation,M,125,125,2558,8830,14,1419,5
BOSM10,BOS,M10,10,Cross-validation,M,125,125,1932,6627,18,1098,5
BOSM1,BOS,M1,1,Training,M,175,70,1309,4490,6,756,5
BOSM2,BOS,M2,2,Training,M,175,70,1444,4940,21,814,5
BOSM3,BOS,M3,3,Training,M,175,70,1808,6187,24,1021,5
BOSM4,BOS,M4,4,Training,M,175,70,1970,6752,13,1132,5
BOSM5,BOS,M5,5,Training,M,175,70,1656,5727,18,894,5
BOSM6,BOS,M6,6,Training,M,175,70,1887,6490,20,1049,5
BOSM7,BOS,M7,7,Validation,M,175,70,1417,4858,17,791,5
BOSM8,BOS,M8,8,Validation,M,175,70,1982,6817,17,1110,5
BOSM9,BOS,M9,9,Validation,M,175,70,1835,6308,16,1017,5
BOSM10,BOS,M10,10,Cross-validation,M,175,70,1265,4278,17,755,5
BOSM1,BOS,M1,1,Training,M,175,100,1898,6227,240,926,5
BOSM2,BOS,M2,2,Training,M,175,100,1406,4840,12,783,5
BOSM3,BOS,M3,3,Training,M,175,100,1801,6162,25,1015,5
BOSM4,BOS,M4,4,Training,M,175,100,1939,6643,15,1115,5
BOSM5,BOS,M5,5,Training,M,175,100,1644,5678,18,894,5
BOSM6,BOS,M6,6,Training,M,175,100,1883,6459,20,1064,5
BOSM7,BOS,M7,7,Validation,M,175,100,1388,4754,16,781,5
BOSM8,BOS,M8,8,Validation,M,175,100,2012,6929,17,1117,5
BOSM9,BOS,M9,9,Validation,M,175,100,1811,6227,16,1003,5
BOSM10,BOS,M10,10,Cross-validation,M,175,100,1299,4410,21,760,5
BOSM1,BOS,M1,1,Training,M,175,125,1898,6227,240,926,5
BOSM2,BOS,M2,2,Training,M,175,125,1406,4840,12,783,5
BOSM3,BOS,M3,3,Training,M,175,125,1801,6162,25,1015,5
BOSM4,BOS,M4,4,Training,M,175,125,1939,6643,15,1115,5
BOSM5,BOS,M5,5,Training,M,175,125,1644,5678,18,894,5
BOSM6,BOS,M6,6,Training,M,175,125,1883,6459,20,1064,5
BOSM7,BOS,M7,7,Validation,M,175,125,1388,4754,16,781,5
BOSM8,BOS,M8,8,Validation,M,175,125,2012,6929,17,1117,5
BOSM9,BOS,M9,9,Validation,M,175,125,1811,6227,16,1003,5
BOSM10,BOS,M10,10,Cross-validation,M,175,125,1299,4410,21,760,5
BOST1,BOS,T1,1,Training,T,90,70,2706,9359,16,1483,5
BOST2,BOS,T2,2,Training,T,90,70,4026,13927,43,2173,5
BOST3,BOS,T3,3,Training,T,90,70,2886,10025,16,1551,5
BOST4,BOS,T4,4,Training,T,90,70,3255,11245,33,1792,5
BOST5,BOS,T5,5,Training,T,90,70,2623,9088,12,1430,5
BOST6,BOS,T6,6,Training,T,90,70,2702,9326,18,1497,5
BOST7,BOS,T7,7,Validation,T,90,70,2659,9201,18,1442,5
BOST8,BOS,T8,8,Validation,T,90,70,2583,8943,14,1411,5
BOST9,BOS,T9,9,Validation,T,90,70,3143,10869,16,1741,5
BOST10,BOS,T10,10,Cross-validation,T,90,70,3521,12304,14,1823,5
BOST1,BOS,T1,1,Training,T,90,100,2703,9350,16,1480,5
BOST2,BOS,T2,2,Training,T,90,100,3979,13786,26,2158,5
BOST3,BOS,T3,3,Training,T,90,100,2881,10010,16,1547,5
BOST4,BOS,T4,4,Training,T,90,100,3236,11169,33,1792,5
BOST5,BOS,T5,5,Training,T,90,100,2646,9166,11,1447,5
BOST6,BOS,T6,6,Training,T,90,100,2606,8992,16,1442,5
BOST7,BOS,T7,7,Validation,T,90,100,2648,9169,18,1430,5
BOST8,BOS,T8,8,Validation,T,90,100,2584,8947,13,1413,5
BOST9,BOS,T9,9,Validation,T,90,100,3141,10861,16,1741,5
BOST10,BOS,T10,10,Cross-validation,T,90,100,3510,12267,14,1815,5
BOST1,BOS,T1,1,Training,T,90,125,2670,9240,15,1460,5
BOST2,BOS,T2,2,Training,T,90,125,3904,13497,26,2142,5
BOST3,BOS,T3,3,Training,T,90,125,2866,9958,16,1539,5
BOST4,BOS,T4,4,Training,T,90,125,3220,11112,33,1784,5
BOST5,BOS,T5,5,Training,T,90,125,2550,8838,11,1385,5
BOST6,BOS,T6,6,Training,T,90,125,2600,8974,16,1437,5
BOST7,BOS,T7,7,Validation,T,90,125,2637,9129,18,1428,5
BOST8,BOS,T8,8,Validation,T,90,125,2684,9295,19,1456,5
BOST9,BOS,T9,9,Validation,T,90,125,3230,11146,17,1810,5
BOST10,BOS,T10,10,Cross-validation,T,90,125,3452,12056,16,1795,5
BOST1,BOS,T1,1,Training,T,125,70,1858,6389,9,1051,5
BOST2,BOS,T2,2,Training,T,125,70,2673,9193,31,1491,5
BOST3,BOS,T3,3,Training,T,125,70,1921,6608,16,1075,5
BOST4,BOS,T4,4,Training,T,125,70,2089,7175,21,1168,5
BOST5,BOS,T5,5,Training,T,125,70,1686,5788,16,950,5
BOST6,BOS,T6,6,Training,T,125,70,1928,6508,22,1187,5
BOST7,BOS,T7,7,Validation,T,125,70,1755,6010,27,986,5
BOST8,BOS,T8,8,Validation,T,125,70,1836,6297,19,1031,5
BOST9,BOS,T9,9,Validation,T,125,70,2152,7387,19,1224,5
BOST10,BOS,T10,10,Cross-validation,T,125,70,2463,8522,23,1331,5
BOST1,BOS,T1,1,Training,T,125,100,1858,6391,10,1047,5
BOST2,BOS,T2,2,Training,T,125,100,2669,9182,30,1490,5
BOST3,BOS,T3,3,Training,T,125,100,1920,6605,16,1074,5
BOST4,BOS,T4,4,Training,T,125,100,2068,7093,21,1167,5
BOST5,BOS,T5,5,Training,T,125,100,1689,5801,16,949,5
BOST6,BOS,T6,6,Training,T,125,100,1692,5768,21,982,5
BOST7,BOS,T7,7,Validation,T,125,100,1685,5782,25,931,5
BOST8,BOS,T8,8,Validation,T,125,100,1943,6683,21,1076,5
BOST9,BOS,T9,9,Validation,T,125,100,2131,7305,17,1221,5
BOST10,BOS,T10,10,Cross-validation,T,125,100,2458,8503,23,1330,5
BOST1,BOS,T1,1,Training,T,125,125,1822,6271,9,1025,5
BOST2,BOS,T2,2,Training,T,125,125,2614,8975,30,1472,5
BOST3,BOS,T3,3,Training,T,125,125,1908,6563,16,1068,5
BOST4,BOS,T4,4,Training,T,125,125,2089,7169,22,1176,5
BOST5,BOS,T5,5,Training,T,125,125,1687,5790,16,953,5
BOST6,BOS,T6,6,Training,T,125,125,1684,5740,20,980,5
BOST7,BOS,T7,7,Validation,T,125,125,1673,5739,25,928,5
BOST8,BOS,T8,8,Validation,T,125,125,1853,6351,20,1044,5
BOST9,BOS,T9,9,Validation,T,125,125,2169,7423,17,1256,5
BOST10,BOS,T10,10,Cross-validation,T,125,125,2391,8270,22,1297,5
BOST1,BOS,T1,1,Training,T,175,70,1144,3886,12,678,5
BOST2,BOS,T2,2,Training,T,175,70,1603,5433,26,945,5
BOST3,BOS,T3,3,Training,T,175,70,1177,4024,14,670,5
BOST4,BOS,T4,4,Training,T,175,70,1090,3713,18,621,5
BOST5,BOS,T5,5,Training,T,175,70,1015,3453,10,599,5
BOST6,BOS,T6,6,Training,T,175,70,1250,4264,14,734,5
BOST7,BOS,T7,7,Validation,T,175,70,1053,3572,23,603,5
BOST8,BOS,T8,8,Validation,T,175,70,1168,3998,12,666,5
BOST9,BOS,T9,9,Validation,T,175,70,1326,4536,12,765,5
BOST10,BOS,T10,10,Cross-validation,T,175,70,1342,4620,20,728,5
BOST1,BOS,T1,1,Training,T,175,100,1144,3890,12,674,5
BOST2,BOS,T2,2,Training,T,175,100,1596,5406,24,949,5
BOST3,BOS,T3,3,Training,T,175,100,1185,4059,14,669,5
BOST4,BOS,T4,4,Training,T,175,100,1081,3674,18,624,5
BOST5,BOS,T5,5,Training,T,175,100,1095,3724,11,651,5
BOST6,BOS,T6,6,Training,T,175,100,1168,3980,13,682,5
BOST7,BOS,T7,7,Validation,T,175,100,1057,3595,23,597,5
BOST8,BOS,T8,8,Validation,T,175,100,1133,3868,12,656,5
BOST9,BOS,T9,9,Validation,T,175,100,1409,4808,14,824,5
BOST10,BOS,T10,10,Cross-validation,T,175,100,1334,4586,20,729,5
BOST1,BOS,T1,1,Training,T,175,125,1253,4253,11,754,5
BOST2,BOS,T2,2,Training,T,175,125,1644,5558,26,984,5
BOST3,BOS,T3,3,Training,T,175,125,1169,4000,14,662,5
BOST4,BOS,T4,4,Training,T,175,125,1070,3636,18,618,5
BOST5,BOS,T5,5,Training,T,175,125,1028,3490,12,610,5
BOST6,BOS,T6,6,Training,T,175,125,1162,3960,13,679,5
BOST7,BOS,T7,7,Validation,T,175,125,1044,3548,24,591,5
BOST8,BOS,T8,8,Validation,T,175,125,1149,3921,13,666,5
BOST9,BOS,T9,9,Validation,T,175,125,1324,4525,12,767,5
BOST10,BOS,T10,10,Cross-validation,T,175,125,1307,4490,21,715,5
BRB1,BR,B1,1,Training,B,90,70,2396,8254,17,1333,5
BRB2,BR,B2,2,Training,B,90,70,1448,5010,13,780,5
BRB3,BR,B3,3,Training,B,90,70,1192,4046,19,701,5
BRB4,BR,B4,4,Training,B,90,70,1018,3491,17,563,5
BRB5,BR,B5,5,Training,B,90,70,2385,8187,19,1355,5
BRB6,BR,B6,6,Training,B,90,70,2237,7725,37,1220,5
BRB7,BR,B7,7,Validation,B,90,70,2854,9792,15,1630,5
BRB8,BR,B8,8,Validation,B,90,70,751,2554,14,437,5
BRB9,BR,B9,9,Validation,B,90,70,965,3306,8,553,5
BRB10,BR,B10,10,Cross-validation,B,90,70,1152,3935,31,628,5
BRB1,BR,B1,1,Training,B,90,100,2276,7836,17,1269,5
BRB2,BR,B2,2,Training,B,90,100,1448,5010,13,780,5
BRB3,BR,B3,3,Training,B,90,100,1111,3782,17,640,5
BRB4,BR,B4,4,Training,B,90,100,1017,3483,17,566,5
BRB5,BR,B5,5,Training,B,90,100,2389,8208,19,1350,5
BRB6,BR,B6,6,Training,B,90,100,1504,5135,19,872,5
BRB7,BR,B7,7,Validation,B,90,100,2710,9311,14,1534,5
BRB8,BR,B8,8,Validation,B,90,100,747,2547,14,427,5
BRB9,BR,B9,9,Validation,B,90,100,962,3296,8,551,5
BRB10,BR,B10,10,Cross-validation,B,90,100,1226,4177,31,685,5
BRB1,BR,B1,1,Training,B,90,125,1921,6618,14,1078,5
BRB2,BR,B2,2,Training,B,90,125,1477,5107,13,799,5
BRB3,BR,B3,3,Training,B,90,125,1116,3802,18,640,5
BRB4,BR,B4,4,Training,B,90,125,1015,3477,17,563,5
BRB5,BR,B5,5,Training,B,90,125,2354,8089,19,1334,5
BRB6,BR,B6,6,Training,B,90,125,1584,5402,19,923,5
BRB7,BR,B7,7,Validation,B,90,125,2669,9165,14,1514,5
BRB8,BR,B8,8,Validation,B,90,125,726,2481,14,410,5
BRB9,BR,B9,9,Validation,B,90,125,956,3276,8,547,5
BRB10,BR,B10,10,Cross-validation,B,90,125,1153,3939,32,626,5
BRB1,BR,B1,1,Training,B,125,70,1887,6485,19,1049,5
BRB2,BR,B2,2,Training,B,125,70,888,3059,9,487,5
BRB3,BR,B3,3,Training,B,125,70,671,2304,6,377,5
BRB4,BR,B4,4,Training,B,125,70,651,2224,7,371,5
BRB5,BR,B5,5,Training,B,125,70,1751,5976,20,1005,5
BRB6,BR,B6,6,Training,B,125,70,1107,3765,19,636,5
BRB7,BR,B7,7,Validation,B,125,70,2104,7195,15,1208,5
BRB8,BR,B8,8,Validation,B,125,70,481,1622,9,292,5
BRB9,BR,B9,9,Validation,B,125,70,559,1898,8,326,5
BRB10,BR,B10,10,Cross-validation,B,125,70,662,2255,14,371,5
BRB1,BR,B1,1,Training,B,125,100,1779,6107,18,996,5
BRB2,BR,B2,2,Training,B,125,100,888,3059,9,487,5
BRB3,BR,B3,3,Training,B,125,100,671,2304,6,377,5
BRB4,BR,B4,4,Training,B,125,100,648,2210,7,372,5
BRB5,BR,B5,5,Training,B,125,100,1755,5997,20,1000,5
BRB6,BR,B6,6,Training,B,125,100,1101,3745,20,632,5
BRB7,BR,B7,7,Validation,B,125,100,2104,7192,15,1211,5
BRB8,BR,B8,8,Validation,B,125,100,478,1618,9,284,5
BRB9,BR,B9,9,Validation,B,125,100,556,1888,8,324,5
BRB10,BR,B10,10,Cross-validation,B,125,100,663,2258,14,372,5
BRB1,BR,B1,1,Training,B,125,125,1576,5449,12,859,5
BRB2,BR,B2,2,Training,B,125,125,890,3066,9,488,5
BRB3,BR,B3,3,Training,B,125,125,674,2315,7,377,5
BRB4,BR,B4,4,Training,B,125,125,652,2225,7,374,5
BRB5,BR,B5,5,Training,B,125,125,1724,5890,20,985,5
BRB6,BR,B6,6,Training,B,125,125,1047,3546,19,614,5
BRB7,BR,B7,7,Validation,B,125,125,2076,7090,14,1201,5
BRB8,BR,B8,8,Validation,B,125,125,461,1564,8,272,5
BRB9,BR,B9,9,Validation,B,125,125,550,1868,8,320,5
BRB10,BR,B10,10,Cross-validation,B,125,125,696,2363,14,400,5
BRB1,BR,B1,1,Training,B,175,70,1448,4969,14,812,5
